path,sentence,accents,age,gender
Voice_2505_001,"저는 서울에서 왔고, 한국어를 배우는 학생입니다.",France,twenties,male
Voice_2505_002,"이 책은 정말 재미있고, 저는 매일 아침 공원을 산책합니다.",France,twenties,male
Voice_2505_003,"고맙습니다, 잘 지냈어요. 오늘은 정말 행복한 날입니다.",France,twenties,male
Voice_2605_004,"저는 스물다섯 살이고, 요리를 하는 것을 좋아합니다.",France,twenties,male
Voice_2605_005,"이 영화는 정말 재미있고, 저는 영화를 보는 것을 좋아합니다.",France,twenties,male
Voice_2605_006,"저는 한국어를 배우고 있고, 이 노래는 정말 좋아요.",France,twenties,male
Voice_2605_007,"저는 그림을 그리는 것을 좋아하고, 오늘은 정말 피곤한 날입니다.",France,twenties,male
Voice_2605_008,"이 음식은 정말 맛있고, 저는 여행을 좋아하는 사람입니다.",France,twenties,male
Voice_2605_009,"저는 커피를 좋아하고, 오늘은 정말 더운 날입니다.",France,twenties,male
Voice_2605_010,"저는 책을 읽는 것을 좋아하고, 이 꽃은 정말 예뻐요.",France,twenties,male
Voice_2605_011,"저는 사진을 찍는 것을 좋아하고, 오늘은 정말 바쁜 날입니다.",France,twenties,male
Voice_2605_012,"저는 음악을 듣는 것을 좋아하고, 이 영화는 정말 재미있어요.",France,twenties,male
Voice_2605_013,"저는 서울에서 왔고, 오늘 날씨가 정말 좋네요.",France,twenties,male
Voice_2605_014,"이 책은 정말 재미있고, 저는 매일 아침 공원을 산책합니다.",France,twenties,male
Voice_2605_015,"저는 음악을 좋아하고, 특히 클래식 음악을 즐겨 듣습니다.",France,twenties,male
Voice_2605_016,"고맙습니다, 잘 지냈어요. 오늘은 정말 행복한 날입니다.",France,twenties,male
Voice_2605_017,"안녕하세요, 저는 파스칼 이라고 합니다. 저는 학생이고, 한국어를 배우고 있습니다.",France,twenties,male
Voice_2605_018,어제 본 영화는 정말 재미있었어요.,Singapore,twenties,male
Voice_2605_019,저는 주말에 친구들과 함께 공원에 갔어요.,Singapore,twenties,male
Voice_2605_020,이 카페의 커피는 정말 맛있어요.,Singapore,twenties,male
Voice_2605_021,오늘은 날씨가 추워서 따뜻한 옷을 입었어요.,Singapore,twenties,male
Voice_2605_022,저는 매일 아침 조깅을 해요.,Singapore,twenties,male
Voice_2605_023,이 책은 정말 흥미로워요.,Singapore,twenties,male
Voice_2605_024,저는 한국어를 배우는 것을 좋아해요.,Singapore,twenties,male
Voice_2605_025,이 음식은 조금 매워요.,Singapore,twenties,male
Voice_2605_026,저는 내일 시험이 있어요.,Singapore,twenties,male
Voice_2605_027,이 음악은 정말 좋네요.,Singapore,twenties,male
Voice_2605_028,저는 주말에 가족과 함께 시간을 보내요.,Singapore,twenties,male
Voice_2605_029,이 영화는 정말 감동적이었어요.,Singapore,twenties,male
Voice_2605_030,저는 매일 저녁 산책을 해요.,Singapore,twenties,male
Voice_2605_031,이 옷은 정말 예뻐요.,Singapore,twenties,male
Voice_2605_032,저는 한국 문화를 배우고 싶어요.,Singapore,twenties,male
Voice_2605_033,이 공원은 정말 아름다워요.,Singapore,twenties,male
Voice_2605_034,저는 매일 아침 일찍 일어나요.,Singapore,twenties,male
Voice_2605_035,이 영화는 정말 재미있었어요.,Singapore,twenties,male
Voice_2605_036,저는 한국 드라마를 좋아해요.,Singapore,twenties,male
Voice_2605_037,이 음식은 정말 맛있어요.,Singapore,twenties,male
Voice_2605_038,오늘은 매우 바쁜 하루였어요.,China,twenties,male
Voice_2605_039,저는 새로운 레시피를 시도해 보고 싶어요.,China,twenties,male
Voice_2605_040,이 도시는 밤에 정말 아름다워요.,China,twenties,male
Voice_2605_041,저는 주말에 여행 가는 것을 좋아해요.,China,twenties,male
Voice_2605_042,이 꽃은 정말 향기로워요.,China,twenties,male
Voice_2605_043,저는 매일 저녁 책을 읽어요.,China,twenties,male
Voice_2605_044,이 카페는 조용해서 공부하기 좋아요.,China,twenties,male
Voice_2605_045,저는 겨울에 스키 타는 것을 좋아해요.,China,twenties,male
Voice_2605_046,이 영화는 정말 슬펐어요.,China,twenties,male
Voice_2605_047,저는 매일 아침 신문을 읽어요.,China,twenties,male
Voice_2605_048,이 음식은 조금 짜요.,China,twenties,male
Voice_2605_049,저는 주말에 영화 보는 것을 좋아해요.,China,twenties,male
Voice_2605_050,이 공원은 아이들과 놀기 좋아요.,China,twenties,male
Voice_2605_051,저는 매일 아침 샤워를 해요.,China,twenties,male
Voice_2605_052,이 음악은 정말 신나요.,China,twenties,male
Voice_2605_053,저는 한국어 공부를 열심히 하고 있어요.,China,twenties,male
Voice_2605_054,이 옷은 조금 커요.,China,twenties,male
Voice_2605_055,저는 주말에 친구들을 만나요.,China,twenties,male
Voice_2605_056,이 영화는 정말 재미있었어요.,China,twenties,male
Voice_2605_057,저는 매일 저녁 산책을 해요.,China,twenties,male
Voice_2605_058,오늘은 정말 피곤한 하루였어요.,Switzerland,twenties,male
Voice_2605_059,저는 주말에 바다로 여행 갈 거예요.,Switzerland,twenties,male
Voice_2605_060,이 카페의 디저트는 정말 맛있어요.,Switzerland,twenties,male
Voice_2605_061,오늘은 날씨가 매우 더워요.,Switzerland,twenties,male
Voice_2605_062,저는 매일 아침 요가를 해요.,Switzerland,twenties,male
Voice_2605_063,이 소설은 정말 흥미진진해요.,Switzerland,twenties,male
Voice_2605_064,저는 한국어 회화를 연습하고 있어요.,Switzerland,twenties,male
Voice_2605_065,이 음식은 조금 단맛이 나요.,Switzerland,twenties,male
Voice_2605_066,저는 내일 회의가 있어요.,Switzerland,twenties,male
Voice_2605_067,이 노래는 정말 좋네요.,Switzerland,twenties,male
Voice_2605_068,저는 주말에 가족과 함께 영화 볼 거예요.,Switzerland,twenties,male
Voice_2605_069,이 영화는 정말 감동적이었어요.,Switzerland,twenties,male
Voice_2605_070,저는 매일 저녁 공원을 산책해요.,Switzerland,twenties,male
Voice_2605_071,이 신발은 정말 편안해요.,Switzerland,twenties,male
Voice_2605_072,저는 한국 전통 문화를 배우고 싶어요.,Switzerland,twenties,male
Voice_2605_073,이 공원은 정말 평화로워요.,Switzerland,twenties,male
Voice_2605_074,저는 매일 아침 커피를 마셔요.,Switzerland,twenties,male
Voice_2605_075,이 영화는 정말 재미있었어요.,Switzerland,twenties,male
Voice_2605_076,저는 한국 드라마를 자주 봐요.,Switzerland,twenties,male
Voice_2605_077,이 음식은 정말 맛있어요.,Switzerland,twenties,male
common_voice_ko_41668884,소회는 묻고 또 물었다.,South Korea,twenties,female
common_voice_ko_41665903,그런 식으로 말하지 마.,South Korea,twenties,male
common_voice_ko_41665913,옥점 어머니는 부끄러운 생각이 들어 그만 홱 돌아섰다.,South Korea,twenties,male
common_voice_ko_37247554,네 말은 네 행동이 된다.,South Korea,fourties,male
common_voice_ko_37247557,입에서는 침조차 나오지 않고 배는 등에 붙은 것 같다.,South Korea,fourties,male
common_voice_ko_39571266,어리석은 자는 그 노를 다 드러내어도 지혜로운 자는 그 노를 억제하느니라.,South Korea,twenties,male
common_voice_ko_39571273,병실로 떠메어 들어온 뒤에야 영신은 차츰차츰 의식을 회복하였다.,South Korea,twenties,male
common_voice_ko_39571277,그때 다리를 빼앗기던 장면이 휙 떠오른다.,South Korea,twenties,male
common_voice_ko_39476318,그러나 말소리는 들리지 않고 무슨 옷갈피를 뒤지는 소리가 부스스 들릴 뿐이다.,South Korea,thirties,female
common_voice_ko_39476319,그런 걸 별짓을 다해 가면서 억지루 시작을 했었지요.,South Korea,thirties,female
common_voice_ko_39476322,따라서 의사에게 보인 적이 없으니 무슨 병인지는 알 수 없으되.,South Korea,thirties,female
common_voice_ko_39476325,그 말에 회원들은 손바닥이 뜨겁도록 박수를 한다.,South Korea,thirties,female
common_voice_ko_39476326,더욱 신철의 집에서 몇 번 보기도 하였다.,South Korea,thirties,female
common_voice_ko_39476327,창 밖에 밤비가 속살거려.,South Korea,thirties,female
common_voice_ko_39476341,그 목소리는 몸집과 딴판으로 연하고 싹싹하였다.,South Korea,thirties,female
common_voice_ko_39476345,아직도 인천 시가는 뿌연 분위기 속에 잠겨 있었다.,South Korea,thirties,female
common_voice_ko_39476347,출동하면 반은 이런 경우죠.,South Korea,thirties,female
